text,label,relationship_stage,medium,trigger
I cherish our dreams talks. 💬,2,early_dating,text,happiness
You’re my heart and my soulmate. 💗,3,early_dating,in_person,separation
I can’t stop thinking about our memories. 💭,3,long_distance,email,milestone
I don't trust you when you blaming me. 😠,0,committed,email,stress
You’re my mi amor and my best friend. 💕,3,early_dating,phone,happiness
"You can count on me, future. 💕",5,early_dating,email,milestone
You’re my forever love. 💖,5,married,in_person,separation
You’re the heart I need in my life. 💕,3,committed,in_person,separation
I'm fed up with your excuses habits. 😩,0,married,phone,happiness
You’re the wonderful one who can make me feel this way. 💕,4,long_distance,phone,separation
You make me feel grateful. 😊,2,early_dating,in_person,separation
Your fighting is really selfish. 😠,0,committed,text,happiness
Let’s cherish and enjoy each other’s company. 😊,4,committed,text,stress
You mean the future to me. 💕,2,married,text,separation
"I think you, now and forever. ❤️",3,married,phone,conflict
"You’re wonderful, but I’m not sure if week is working. 🤔",6,early_dating,phone,conflict
I'm sick of your games excuses. 🤢,0,breaking_up,text,milestone
Every hour is annoying without you. 🕰️,3,married,in_person,milestone
I’m counting down the days until we’re together again. 🕰️,3,early_dating,text,milestone
Let’s cherish and enjoy each other’s company. 😊,4,married,phone,conflict
"You’re great, but sometimes I wonder about your mood.",6,breaking_up,email,stress
I adore the way you make me feel. 💗,3,married,text,stress
"Hey cutie, ready to create or what? 😘",4,committed,text,milestone
You're not perfect enough for me. 😔,0,long_distance,text,stress
You’re the heart of my heart’s desire. 💖,4,committed,text,milestone
I can’t believe you shutting down. 😡,0,early_dating,text,happiness
I can’t get enough of our life adventures together. 🏞️,4,breaking_up,text,happiness
You can always rely on me. 💯,5,breaking_up,email,separation
"You’re my mi amor, always. 💗",2,married,in_person,separation
"No matter what, you’ll always be my babe. 💗",5,long_distance,email,separation
What’s your experience with week? 📊,1,married,email,milestone
I miss your world and your smile. 😊,3,committed,text,stress
"You’re my mi amor, always. 💗",2,breaking_up,in_person,conflict
You’re the best thing that’s ever happened to me. 😊,5,breaking_up,email,conflict
I love you for who you are. 💖,5,married,phone,conflict
What do you think about schedule? 🤔,1,breaking_up,text,stress
I’m beautiful when it comes to you. 😊,4,long_distance,in_person,milestone
Your blaming me is breaking my heart. 💔,0,committed,email,conflict
"I love you, now and forever. ❤️",3,committed,phone,separation
I feel so betrayed without you. 😔,3,long_distance,in_person,milestone
"I don’t know, maybe we should catch up and see what happens. 🎉",6,committed,text,milestone
"I’m always here to support you, joy. 🤗",5,breaking_up,phone,separation
Let’s talk sometime. 📅,1,early_dating,in_person,happiness
I’m just chill and trying to understand mood. 📚,6,married,in_person,stress
What do you like about mood? 😊,1,married,text,milestone
Can’t chill without thinking of you. 😊,4,committed,phone,milestone
Your blaming me is breaking my heart. 💔,0,married,in_person,conflict
"Hey, meet up? 😊",1,early_dating,text,separation
Want to chat and share ideas? 💭,1,married,in_person,stress
You make every moment amazing. 🌟,4,committed,email,stress
How do you handle week? 🤔,1,committed,text,milestone
"You’re always on my mind, everything. 😊",3,long_distance,in_person,separation
Stop lying all the time. 🚫,0,breaking_up,text,separation
Let’s meet up and have fun. 😄,1,married,email,separation
You mean the babe to me. 💕,2,married,email,stress
You always lying at the worst times. 😩,0,breaking_up,email,separation
Can’t catch up without thinking of you. 😊,4,committed,email,stress
"You’re my everything, and I’m here for you. 💖",5,long_distance,phone,separation
You’re the special one for me. 💕,4,early_dating,email,conflict
You’re the heart of my heart’s desire. 💖,4,married,in_person,happiness
Just checking in about day. 👋,1,long_distance,email,conflict
"You’re my safe haven, and I’m yours. 🏠",5,married,email,stress
You make my life wonderful when we’re together. 🌞,3,breaking_up,email,milestone
I think the way you spend me. 😘,3,breaking_up,text,happiness
I’m amazing to have you. 😊,2,early_dating,in_person,happiness
I’m just catch up and trying to understand week. 📚,6,breaking_up,email,milestone
Bet I can make you excited tonight! 😏,4,breaking_up,phone,milestone
Can we talk over the weekend? 🌴,1,committed,phone,conflict
I cherish our dreams love story. 💗,3,breaking_up,in_person,milestone
I feel grateful with you by my side. 😊,2,long_distance,phone,stress
I think the memories we made together. 📚,3,married,in_person,stress
I think the way you create with me. 😘,4,married,in_person,conflict
"You’re my priority, and I’m here for you. 💕",5,long_distance,email,stress
"You’re my everything, and I adore you. 💖",5,married,in_person,conflict
Let’s chat and brainstorm. 💡,1,committed,phone,milestone
"You’re my everything, my babe. 💗",2,long_distance,in_person,happiness
Why do you always have to hiding things like this? 🤷‍♂️,0,married,in_person,milestone
How’s your mood going? 🤗,1,early_dating,phone,happiness
"I dream you, now and forever. ❤️",3,breaking_up,email,stress
Let’s catch up and explore. 🌐,1,long_distance,text,happiness
I miss your babe and your touch. 😘,3,breaking_up,email,milestone
Maybe we should chat and see how it goes. 📆,6,early_dating,text,happiness
You’re the joy I need in my life. 💕,3,married,phone,happiness
I’m just chill and seeing where our relationship takes us. 🌈,6,breaking_up,email,happiness
I’m perfect when it comes to you. 😊,4,committed,phone,milestone
I love our memories talks. 💬,2,early_dating,email,conflict
I feel excited when you’re near. 😊,2,breaking_up,phone,stress
What’s mood like today? 🤔,1,married,phone,milestone
I don't trust you when you ignoring me. 😠,0,breaking_up,phone,milestone
You’re my joy love. 💗,2,committed,phone,conflict
"Hey cutie, ready to cherish or what? 😘",4,long_distance,phone,separation
Let’s share our babe. 💗,2,married,text,stress
Maybe we should catch up and discuss our feelings openly. 💬,6,early_dating,phone,conflict
Let’s share and grow together. 🌱,2,married,text,conflict
I'm fed up with your games habits. 😩,0,breaking_up,text,happiness
You’re the world of my heart’s desire. 💖,4,breaking_up,in_person,milestone
"You’re my everything, and I’m trying to navigate vibe with you. 🤝",6,committed,in_person,conflict
I cherish the way you make me feel. 💗,4,long_distance,in_person,separation
I’m here to support your dreams. 🤗,5,long_distance,phone,milestone
"I’m feeling confused about schedule, and I’m trying to understand why. 😊",6,married,phone,stress
Your blaming me is breaking my heart. 💔,0,committed,email,happiness
What’s your experience with vibe? 📊,1,long_distance,text,conflict
You’re my forever love. 💖,5,long_distance,phone,stress
You’re the everything of my heart. ❤️,2,early_dating,phone,stress
"You’re my mi amor, and I adore you. 💗",4,long_distance,phone,happiness
I'm over your distant comments. 😒,0,early_dating,phone,stress
I’m so wonderful in love with you. 😍,2,early_dating,email,happiness
I adore you more every minute. ❤️,2,married,phone,conflict
You’re the one I want to spend forever with. 💕,5,long_distance,text,happiness
Maybe we should chat and see how it goes. 📆,6,long_distance,text,conflict
Can’t chat without thinking of you. 😊,4,married,text,happiness
I dream the way you plan. 😘,2,married,phone,separation
"I don’t know, maybe we need to talk and reevaluate our priorities. 📊",6,married,phone,separation
Why do you always have to ignoring me like this? 🤷‍♂️,0,early_dating,email,separation
I’m so beautiful in love with you. 😍,2,breaking_up,text,separation
You can trust me with anything. 🤐,5,breaking_up,text,happiness
"You’re my safe haven, and I’m yours. 🏠",5,early_dating,text,happiness
"You’re my everything, my love, my everything. 💗",3,committed,email,milestone
Want to learn about schedule? 📚,1,married,text,stress
You're always cold when I'm trying to talk. 😠,0,committed,in_person,stress
What’s your thought on week? 💭,1,long_distance,email,conflict
You’re the heart I want to spend forever with. 💕,3,married,email,stress
"I’m wonderful to be yours, and you’re mine. 💕",3,long_distance,text,separation
Can we hang out and talk? 💬,1,breaking_up,email,happiness
How’s your week hobby going? 🎨,1,committed,in_person,milestone
I’m here to make our relationship amazing. 💕,5,married,text,stress
I'm fed up with your secrets habits. 😩,0,breaking_up,email,stress
"You’re my heart, but I’m not sure about mood. 💗",6,breaking_up,phone,happiness
I love our dreams dates. 📆,2,breaking_up,in_person,happiness
You’re my future in the darkness. ✨,3,married,email,happiness
I’m so over your rude attitude! 😒,0,committed,email,happiness
I think you for all eternity. ❤️,2,early_dating,phone,separation
"You’re my babe, but sometimes I’m unsure about plan and our future. 💕",6,committed,text,milestone
Your excuses is a major problem. 🚨,0,long_distance,text,separation
"You can count on me, joy. 💕",5,early_dating,phone,separation
"You’re incredible, but sometimes I wonder about schedule. 💭",6,breaking_up,email,separation
"You’re my everything, my everything. 💗",2,long_distance,in_person,happiness
Let’s build and have fun. 🎉,2,breaking_up,email,milestone
You’re the special one who can make me feel this way. 💕,4,married,in_person,conflict
Every moment is selfish without you. 🕰️,3,married,phone,separation
I'm tired of your attitude drama. 😩,0,breaking_up,text,happiness
"You’re my rock, and I love you. 💗",5,early_dating,email,conflict
You’re the best thing about my life. 🌟,5,married,text,happiness
Let’s create and make this night unforgettable. 🌃,4,married,in_person,milestone
I can’t stop thinking about our love. 💭,3,committed,text,stress
Maybe we should talk and work on building trust. 💕,6,married,in_person,milestone
What do you think about vibe? 🤔,1,long_distance,text,conflict
How do you approach schedule? 💡,1,married,email,stress
Are you free to hang out? 🕒,1,committed,text,stress
"You’re amazing, but sometimes I wonder about mood. 💭",6,early_dating,in_person,conflict
You’re the one I want to spend forever with. 💕,5,breaking_up,text,separation
I'm tired of your games drama. 😩,0,early_dating,email,stress
How’s your day going with schedule? 🌞,1,long_distance,in_person,milestone
I wish we could cherish and make memories. 📸,3,breaking_up,email,milestone
You make every moment wonderful. 🌟,4,breaking_up,in_person,milestone
Let’s build and create some magic. ✨,4,early_dating,phone,milestone
Your annoying attitude is pushing me away. 😠,0,married,phone,stress
Wish you were here to plan with me. 🤗,3,married,text,conflict
You're so unfair when it comes to {topic}. 😒,0,committed,in_person,stress
You’re my partner in crime and in life. 😄,5,early_dating,text,conflict
Maybe we should catch up and work on our communication. 💬,6,married,text,conflict
I’m here to support your dreams. 🤗,5,committed,email,happiness
Let’s chat and relax. 😌,1,long_distance,email,happiness
Maybe we should chill and discuss our feelings openly. 💬,6,long_distance,text,stress
I’m committed to us and our relationship. 💕,5,breaking_up,email,stress
You’re my future. 💗,2,breaking_up,text,happiness
I don't appreciate your lying towards me. 😠,0,married,phone,happiness
I’m just meet up and hoping for the best. 🌟,6,long_distance,in_person,conflict
"You’re my soulmate, and I’m here for you. 💖",5,married,in_person,happiness
"No matter what, you’ll always be my heart. 💗",5,long_distance,email,separation
How’s your day plan working? 📈,1,committed,text,stress
I believe in our love and future. 🌟,5,long_distance,text,stress
I dream how you always know how to make me loved. 😊,4,long_distance,phone,conflict
"You’re my priority, and I’m here for you. 💕",5,early_dating,phone,stress
"You’re my joy, and I’ve got your back. 😊",5,committed,in_person,conflict
I’m beautiful when we’re apart. 😢,3,long_distance,in_person,separation
"You’re my future, but I’m not sure about day. 💗",6,long_distance,text,milestone
What’s your favorite week? ❤️,1,early_dating,text,happiness
You’re my special partner. 👫,2,early_dating,email,milestone
"Hey cutie, ready to share or what? 😘",4,early_dating,text,conflict
How’s your mood been lately? 🤗,1,early_dating,in_person,conflict
You never respect when I need you. 😔,0,long_distance,phone,separation
"You’re my rock, and I’m yours. 🌟",5,early_dating,in_person,separation
Why do you always have to fighting like this? 🤷‍♂️,0,committed,phone,separation
Let’s build and make this night unforgettable. 🌃,4,breaking_up,in_person,separation
Your rude attitude is pushing me away. 😠,0,breaking_up,phone,stress
I can’t get enough of our journey moments. 💭,3,early_dating,in_person,stress
Can’t meet up without thinking of you. 😊,4,married,email,conflict
I need you to {positive_action} for our relationship. 💕,0,committed,text,milestone
I’m not really sure what to say about plan. 🤔,6,early_dating,in_person,separation
I miss our love talks and laughter. 💬,3,married,text,stress
You’re the future I want to spend forever with. 💕,4,early_dating,in_person,milestone
I’m here to make you happy. 😊,5,long_distance,phone,separation
I’m feeling confused about our schedule. 😊,6,married,email,separation
"Babe, you make my heart happy! 😍💖",2,breaking_up,email,separation
Want to meet up soon? 🤗,1,early_dating,phone,conflict
"You’re great, but sometimes I wonder about your mood.",6,married,text,stress
"You’re my everything, my future. 💗",2,committed,phone,separation
I'm tired of feeling angry around you. 😢,0,committed,email,stress
You’re my partner in every sense. 💗,5,committed,email,stress
"You’re wonderful, but I’m not sure about the future of plan. 🤔",6,married,phone,happiness
I think our dreams love story. 💗,3,committed,text,happiness
You’re such a special tease! Let’s share. 😉,4,married,phone,stress
"You’re my mi amor, always. 💗",2,committed,in_person,milestone
I dream the way you make me feel. 💗,4,long_distance,text,milestone
"You’re my everything, and I’ve got your back. 😊",5,committed,email,stress
I’m so over your distant attitude! 😒,0,married,email,stress
I’m amazing to spend forever with you. 💗,2,breaking_up,phone,stress
You’re the everything of my heart. ❤️,2,breaking_up,phone,stress
How do you feel about chat? 🤗,1,early_dating,email,conflict
"I dream you, now and forever. ❤️",3,long_distance,email,separation
"I’m feeling off about our day, and I’m not sure what to do. 😔",6,breaking_up,phone,milestone
I'm exhausted from dealing with your behavior. 😴,0,breaking_up,email,conflict
You’re the world I need in my life. 💕,3,committed,phone,separation
Your rude words hurt me deeply. 😢,0,early_dating,email,milestone
Bet I can make you grateful tonight! 😏,4,married,in_person,conflict
You’re my everything and my everything. 💗,4,long_distance,phone,separation
You’re the incredible person I know. 💕,2,committed,text,happiness
Let’s catch up and get coffee. ☕️,1,early_dating,phone,conflict
I’m just chat and seeing how things develop. 🌟,6,breaking_up,text,milestone
Your shutting down is really disappointing. 😔,0,married,email,conflict
Are you free to hang out? 🕒,1,married,in_person,happiness
Everything’s better when we’re together. grateful? 🌞,5,married,text,conflict
"You’re my babe, always and forever. 💗",3,breaking_up,phone,separation
"You’re my mi amor, but sometimes I’m unsure about plan. 💕",6,early_dating,phone,milestone
You make me feel unimportant. 😢,0,married,email,milestone
Want to chat together? 👫,1,committed,email,happiness
Your unfair words hurt me deeply. 😢,0,married,text,happiness
"I’m wonderful to be yours, and you’re mine. 💕",3,early_dating,phone,happiness
Your shutting down is really selfish. 😠,0,committed,email,stress
I dream our late-night conversations. 💬,3,early_dating,in_person,conflict
You make every moment wonderful. 🌟,4,committed,phone,stress
"I don’t know, maybe we need to hang out and communicate better. 💬",6,committed,in_person,happiness
I'm over your annoying comments. 😒,0,early_dating,in_person,conflict
You’re my forever future. 💗,2,long_distance,phone,conflict
How do you feel about schedule? 🤗,1,early_dating,phone,happiness
Stop hiding things all the time. 🚫,0,married,email,milestone
"You’re my rock, and I’m yours. 🌟",5,committed,in_person,milestone
How’s your mood plan working? 📈,1,early_dating,email,milestone
How’s your vibe hobby going? 🎨,1,married,text,conflict
"We’re a team, future. 🤝",5,early_dating,in_person,stress
You make chat way more fun! 😄,4,committed,in_person,happiness
You make my heart excited. 💖,2,committed,in_person,stress
You make my heart grateful. 💖,2,long_distance,email,conflict
Maybe we should meet up and see how it goes. 📆,6,long_distance,email,stress
Want to join me for chill? 🎉,1,married,text,separation
I'm fed up with your games habits. 😩,0,early_dating,in_person,happiness
I cherish the way you build with me. 😘,4,long_distance,email,conflict
I adore the way you make me feel. 💗,4,early_dating,in_person,conflict
You’re the beautiful one for me. 💕,4,breaking_up,in_person,stress
I feel so excited when we’re apart. 😔,3,committed,in_person,milestone
"You’re beautiful, but I’m not sure about the future of schedule. 🤔",6,committed,phone,happiness
You’re the special person I know. 💕,2,breaking_up,in_person,conflict
"I’ve got your back, heart. 💯",5,committed,text,happiness
Why are you always shutting down? 🤔,0,long_distance,text,stress
Maybe we should talk and talk about our feelings. 💕,6,early_dating,in_person,milestone
I feel so excited with you. 😊,2,breaking_up,in_person,stress
Let’s build and make our love stronger. 💪,2,long_distance,phone,separation
What do you like about day? 😊,1,married,phone,happiness
Let’s create and make some unforgettable memories. 📸,4,long_distance,phone,milestone
I dream the way you make me feel. 💗,4,early_dating,email,conflict
Let’s make future together. 💕,2,breaking_up,phone,milestone
Are we okay? Just checking on mood. 🤗,6,long_distance,email,conflict
Are we okay? Just checking on mood. 🤗,6,committed,email,milestone
Why do you always have to hiding things like this? 🤷‍♂️,0,early_dating,phone,stress
I’m here to support your dreams. 🤗,5,early_dating,in_person,milestone
"You’re my heart, and I’m trying to navigate vibe with you. 🤝",6,long_distance,phone,conflict
Bet I can make you grateful tonight! 😏,4,long_distance,phone,happiness
"I’m fine, just chat.",6,married,phone,happiness
I’m wonderful when we’re apart. 😢,3,breaking_up,phone,happiness
I love and support you unconditionally. 💕,5,long_distance,text,separation
I’m incredible to have you. 😊,2,early_dating,text,stress
You’re the everything I love. 💕,2,married,in_person,separation
I’m just hang out and trying to figure things out. 📊,6,married,text,separation
I’m incredible when we’re together. 😊,2,breaking_up,email,happiness
"You’re my everything, and I’ve got your back. 😊",5,married,email,conflict
I dream our dreams memories. 📚,3,committed,email,conflict
How’s your day going so far? 🤔,1,long_distance,text,separation
I’m so over your rude attitude! 😒,0,early_dating,text,milestone
How’s your day plan working? 📈,1,committed,in_person,milestone
Let’s meet up and explore. 🌐,1,married,text,separation
Everything’s better when we’re together. loved? 🌞,5,long_distance,in_person,separation
I believe in us and our future. 🌟,5,committed,text,stress
What do you like about mood? 😊,1,breaking_up,email,separation
"We’re in this together, always. 💕",5,long_distance,in_person,separation
I can’t get enough of the way you {romed with you. 😘,4,early_dating,in_person,stress
I think our future adventures together. 🏞️,4,breaking_up,phone,happiness
You're always hiding things behind my back. 🤐,0,early_dating,phone,conflict
You’re the amazing one for me. 💕,4,committed,phone,happiness
"You’re my rock, and I love you. 💗",5,married,text,conflict
You’re the beautiful one for me. 💕,4,early_dating,email,stress
I’m perfect to be with you. 😊,3,committed,email,conflict
Wish you were here to build with me. 🤗,3,long_distance,in_person,separation
I'm tired of your secrets. 😒,0,committed,text,conflict
Want to chill and share ideas? 💭,1,long_distance,in_person,stress
Your rude words hurt me deeply. 😢,0,committed,phone,stress
I adore the way you spend me. 😘,4,married,email,stress
I’m always here to help you through tough times. 🤗,5,breaking_up,phone,stress
You never listen to when I need you. 😔,0,early_dating,phone,stress
"You’re my everything, and I’m here to support you. 💕",5,long_distance,phone,separation
Your arguments is a major problem. 🚨,0,breaking_up,email,conflict
I dream the way you smile. 😊,2,married,in_person,stress
I’m so beautiful with you by my side. 💕,2,married,phone,conflict
"You’re my babe, and I dream you. 💗",4,married,in_person,milestone
Want to hang out and share ideas? 💭,1,married,in_person,stress
I’m always here to help you through tough times. 🤗,5,long_distance,phone,separation
You’re the future I need. 💕,2,early_dating,email,happiness
I can’t stop thinking about our journey. 💭,3,committed,phone,happiness
Let’s cherish and create some magic. ✨,4,committed,phone,happiness
You’re the incredible one for me. 💕,2,long_distance,in_person,stress
Let’s share and make this night unforgettable. 🌃,4,committed,in_person,separation
Let’s cherish and make some unforgettable memories. 📸,4,long_distance,phone,happiness
"We’re a team, babe. 🤝",5,early_dating,email,happiness
Let’s share and make some unforgettable memories. 📸,4,early_dating,phone,separation
I’m amazing when it comes to you. 😊,4,early_dating,text,conflict
"You’re beautiful, but I’m not sure if plan is sustainable. 🤔",6,married,phone,separation
"You’re my everything, but I’m not sure about week. 💗",6,married,email,separation
I’m amazing when we’re together. 😊,2,committed,phone,happiness
Stop hiding things all the time. 🚫,0,long_distance,in_person,milestone
"You’re my everything, and I adore you. 💖",5,long_distance,in_person,separation
I feel so unimportant without you. 😔,3,married,in_person,stress
Let’s spend and spice things up! 🔥,4,early_dating,in_person,happiness
You need to work on your {negative_trait}. 📝,0,long_distance,phone,milestone
"I’m feeling distant about day, and I’m not sure what it means. 😊",6,breaking_up,text,separation
Why do you always have to lying like this? 🤷‍♂️,0,breaking_up,phone,milestone
I’m committed to our relationship and growth. 💪,5,long_distance,text,conflict
Every day is cold without you. 🕰️,3,breaking_up,phone,happiness
"We’re in this together, always. 💕",5,early_dating,phone,milestone
You’re the joy I think about every day. 😊,3,committed,email,happiness
I can’t stop thinking about our dreams. 💭,3,breaking_up,in_person,milestone
Stop ignoring me all the time. 🚫,0,long_distance,text,stress
What’s new with your vibe? 🚀,1,committed,text,stress
I think our life moments. 😘,2,early_dating,email,happiness
What’s your opinion on mood? 💬,1,married,in_person,separation
I think our life moments together. 😘,3,long_distance,phone,milestone
"I’m feeling confused about week, and I’m not sure how to move forward. 😊",6,breaking_up,phone,happiness
I adore the way you cherish me. 😘,4,committed,in_person,happiness
I cherish our love love story. 💗,3,early_dating,phone,happiness
Are you interested in meet up? 🤔,1,early_dating,phone,stress
What’s your opinion on day? 💬,1,early_dating,text,conflict
You’re my partner in crime and in life. 😄,5,early_dating,in_person,milestone
I wish you would {positive_action} more often. 😊,0,breaking_up,email,happiness
Maybe we should chill and discuss our feelings openly. 💬,6,breaking_up,phone,separation
Let’s meet up sometime. 📅,1,married,phone,conflict
I love our memories adventures together. 🏞️,4,married,text,stress
I’m just chill and seeing where things go. 📊,6,committed,in_person,happiness
"I’m feeling distant about week, and I’m not sure why. 😊",6,married,email,conflict
I’m feeling a bit unsure about mood. 😊,6,long_distance,in_person,separation
I adore our dreams love story. 💗,3,married,phone,separation
You’re the everything of my dreams. 🌙,2,long_distance,email,milestone
"You’re the babe of my dreams, and I’m all about you. 💭",4,committed,email,milestone
You're always hiding things behind my back. 🤐,0,long_distance,email,conflict
Want to catch up and share ideas? 💭,1,married,in_person,stress
"You’re perfect, but I’m not sure about vibe. 🤔",6,long_distance,in_person,happiness
I love our life adventures together. 🏞️,4,breaking_up,text,milestone
I’m so perfect to be with you. 💕,4,breaking_up,phone,separation
Let’s build and enjoy each other’s company. 😊,4,long_distance,phone,stress
I'm frustrated with your rude behavior. 😤,0,long_distance,email,separation
I’m feeling a bit off about schedule. 😊,6,married,email,separation
I love you for who you are. 💖,2,married,email,happiness
"You’re my everything, and I adore you. 💖",5,early_dating,email,conflict
You’re my babe forever. 💗,2,early_dating,phone,separation
I’m just hang out and hoping for the best. 🌟,6,married,text,separation
"You’re my heart, but sometimes I’m unsure about plan and our future. 💕",6,married,text,conflict
Wish you were here to create with me. 🤗,3,early_dating,in_person,stress
What’s your take on mood? 🤔,1,long_distance,email,happiness
"I don’t know, maybe we should chill and see what happens. 🎉",6,early_dating,phone,stress
"I don’t know, maybe we need to chill and communicate better. 💬",6,married,phone,milestone
"You’re my everything, and I adore you. 💖",5,breaking_up,phone,separation
You’re my babe in the darkness. ✨,3,married,email,separation
Let’s hang out and get coffee. ☕️,1,early_dating,text,happiness
Let’s catch up and brainstorm. 💡,1,early_dating,text,stress
Let’s make future together. 💕,2,committed,in_person,happiness
"No matter what, you’ll always be my world. 💗",5,committed,text,separation
Let’s spend and make some memories. 📚,4,breaking_up,in_person,happiness
I’m here to make you feel better. 😊,5,long_distance,in_person,milestone
"You’re my babe, and I can’t get enough of you for it. 💗",4,committed,phone,conflict
You’re my partner in crime and in life. 😄,5,married,phone,happiness
I’m so beautiful when we’re together. 😊,4,committed,phone,separation
I adore spending time with you. 🕰️,2,long_distance,email,stress
You’re the everything I need. 💕,2,long_distance,in_person,conflict
What do you like about vibe? 😊,1,early_dating,email,stress
You’re the heart of my heart’s desire. 💖,4,married,in_person,happiness
I’m committed to us and our relationship. 💕,5,committed,phone,separation
"I’m feeling unsure about week, and I’m not sure why. 😊",6,early_dating,email,happiness
Can we chill later? 🕰️,1,long_distance,in_person,happiness
I feel so angry without you. 😔,3,breaking_up,email,separation
"I don’t know, maybe we should hang out and talk about it. 💬",6,early_dating,email,conflict
"Idk, I’m just feeling distant right now. 🤔",6,married,text,conflict
"You can count on me, joy. 💕",5,breaking_up,phone,separation
Your lying is breaking my heart. 💔,0,early_dating,text,happiness
Let’s plan and create some magic. ✨,4,early_dating,phone,separation
Let’s create and make our love stronger. 💪,2,long_distance,in_person,separation
Can we catch up later? 🕰️,1,long_distance,email,happiness
Why do you always have to blaming me like this? 🤷‍♂️,0,breaking_up,in_person,milestone
"I don’t know, maybe we should talk and talk about it. 💬",6,committed,in_person,happiness
How do you feel about meet up? 🤗,1,early_dating,text,milestone
I feel disrespected when you blaming me. 😢,0,married,email,stress
Can we meet up and hang out? 👫,1,long_distance,text,milestone
I'm done with feeling angry because of you. 👋,0,married,in_person,separation
Can we chat over the weekend? 🌴,1,married,email,milestone
Want to chill soon? 🤗,1,breaking_up,email,conflict
"You’re my soulmate, and I’m grateful for you. 💗",5,breaking_up,in_person,milestone
You’re the reason I wake up with a smile. 😊,5,breaking_up,email,separation
I’m done with your arguments. 👋,0,early_dating,phone,stress
I dream our memories moments together. 😘,3,breaking_up,in_person,stress
You never respect my thoughts. 😔,0,married,phone,separation
"You’re my babe, always and forever. 💗",3,long_distance,phone,stress
I’m feeling a bit unsure about plan. 😊,6,committed,in_person,stress
I'm tired of your behavior. 😒,0,early_dating,text,milestone
"I’m amazing to be yours, and you’re mine. 💕",3,breaking_up,in_person,separation
I’m wonderful when it comes to you. 😊,4,married,email,conflict
I dream the memories we made together. 📚,3,long_distance,phone,conflict
Can we hang out over the weekend? 🌴,1,early_dating,email,stress
You never take responsibility for your ignoring me. 😠,0,married,text,happiness
"You’re my everything, and I’m here for you. 💖",5,married,phone,happiness
Why are you always blaming me? 🤔,0,committed,text,stress
I dream spending time with you. 🕰️,2,breaking_up,in_person,stress
I'm done with feeling ignored because of you. 👋,0,breaking_up,phone,milestone
Can't you see I'm ignored because of you? 😔,0,breaking_up,phone,happiness
I can’t stop thinking about our future. 💭,3,breaking_up,email,happiness
Let’s talk and relax. 😌,1,committed,email,stress
Let’s cherish and make this night unforgettable. 🌃,4,long_distance,phone,stress
Let’s plan and make our love stronger. 💪,2,committed,email,happiness
I think the way you build. 😘,3,early_dating,phone,milestone
Why are you always ignoring me? 🤔,0,committed,phone,happiness
Are we okay? Just checking on vibe. 🤗,6,long_distance,phone,conflict
I'm done with your behavior games. 👋,0,committed,email,milestone
I believe in us and our future. 🌟,5,married,in_person,milestone
"Hey cutie, ready to cherish or what? 😘",4,long_distance,text,stress
"I’m feeling overwhelmed about our week, and I’m not sure what to do. 😔",6,committed,email,stress
You make my life wonderful and beautiful. 🌈,3,early_dating,in_person,happiness
You’re the reason I wake up with a smile. 😊,5,long_distance,text,conflict
"You’re my everything, but I’m not sure about schedule. 💗",6,married,email,separation
"Yo, you up for meet up this week? 😎",1,breaking_up,email,happiness
You’re my world and my best friend. 💕,3,committed,in_person,milestone
You’re the everything of my dreams. 🌙,2,early_dating,email,milestone
I cherish spending time with you. 🕰️,2,early_dating,text,conflict
You make every moment incredible. 🌟,4,committed,text,separation
"I’m not sure what’s going on, but I’m feeling off. 😊",6,committed,phone,stress
You’re my partner in crime and in life. 😄,5,breaking_up,text,conflict
You’re such a beautiful tease! Let’s share. 😉,4,married,text,conflict
I cherish you more with each passing day. ❤️,4,long_distance,email,separation
I’m feeling confused about our day. 😊,6,committed,phone,separation
I feel blessed when I think of you. 💕,3,long_distance,text,stress
Let’s build and enjoy each other’s company. 😊,4,breaking_up,phone,conflict
You’re such a perfect tease! Let’s share. 😉,4,long_distance,phone,happiness
"I’m feeling confused about week, and I’m not sure how to move forward. 😊",6,breaking_up,phone,happiness
You’re my incredible partner. 👫,2,early_dating,email,stress
You’re such a incredible tease! Let’s share. 😉,4,breaking_up,text,separation
How’s your mood plan working? 📈,1,married,text,happiness
You’re my mi amor and my best friend. 💕,3,early_dating,phone,stress
You make my life perfect and exciting. 🌞,4,long_distance,in_person,stress
Can't you see I'm ignored because of you? 😔,0,early_dating,phone,happiness
I’m just taking things as they come and meet up. 🌟,6,married,phone,stress
I love you for all eternity. ❤️,2,early_dating,email,happiness
I love and support you unconditionally. 💕,5,early_dating,text,stress
Let’s share our mi amor. 💗,2,married,in_person,stress
You make my life incredible and beautiful. 🌈,3,early_dating,in_person,separation
You're always annoying when I'm trying to talk. 😠,0,long_distance,text,stress
Let’s catch up on mood. 📱,1,early_dating,phone,separation
Bet I can make you loved tonight! 😏,4,married,phone,milestone
You make every catch up special. 🎉,4,early_dating,phone,conflict
Why can't you just {positive_action} for once? 🤷‍♂️,0,long_distance,email,happiness
You’re my forever babe. 💗,2,breaking_up,phone,stress
Maybe we should chat and work on building trust. 💕,6,married,in_person,separation
You make me feel grateful and loved. 😊,4,early_dating,email,separation
How do you handle day? 🤔,1,breaking_up,phone,separation
Your shutting down is breaking my heart. 💔,0,early_dating,phone,milestone
